"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"chy","CHY_0001","K02914","RP-L34, MRPL34, rpmH","large subunit ribosomal protein L34","0.3752","0.5158","Carboxydothermus hydrogenoformans"
"chy","CHY_0004","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Carboxydothermus hydrogenoformans"
"chy","CHY_0025","K01971","ligD","bifunctional non-homologous end joining protein LigD","0.0000 ","0.0000 ","Carboxydothermus hydrogenoformans"
"chy","CHY_0027","K10979","ku","DNA end-binding protein Ku","0.0000 ","0.0000 ","Carboxydothermus hydrogenoformans"
"chy","CHY_0034","K00198","cooS, acsA","anaerobic carbon-monoxide dehydrogenase catalytic subunit","0.0000 ","0.0000 ","Carboxydothermus hydrogenoformans"
"chy","CHY_0035","K02990","RP-S6, MRPS6, rpsF","small subunit ribosomal protein S6","0.5030","0.5709","Carboxydothermus hydrogenoformans"
"chy","CHY_0036","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Carboxydothermus hydrogenoformans"
"chy","CHY_0037","K02963","RP-S18, MRPS18, rpsR","small subunit ribosomal protein S18","0.4440","0.5564","Carboxydothermus hydrogenoformans"
"chy","CHY_0039","K02939","RP-L9, MRPL9, rplI","large subunit ribosomal protein L9","0.0090","0.3152","Carboxydothermus hydrogenoformans"
"chy","CHY_0041","K02314","dnaB","replicative DNA helicase","0.6807","0.7836","Carboxydothermus hydrogenoformans"
"chy","CHY_0043","K00174","korA, oorA, oforA","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha","0.7777","0.7464","Carboxydothermus hydrogenoformans"
"chy","CHY_0044","K00175","korB, oorB, oforB","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta","0.7777","0.7464","Carboxydothermus hydrogenoformans"
"chy","CHY_0046","K00176","korD, oorD","2-oxoglutarate ferredoxin oxidoreductase subunit delta","0.0206","0.2277","Carboxydothermus hydrogenoformans"
"chy","CHY_0049","K01582","E4.1.1.18, ldcC, cadA","lysine decarboxylase","0.0000 ","0.0108","Carboxydothermus hydrogenoformans"
"chy","CHY_0050","K00943","tmk, DTYMK","dTMP kinase","0.7026","0.4891","Carboxydothermus hydrogenoformans"
"chy","CHY_0051","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Carboxydothermus hydrogenoformans"
"chy","CHY_0057","K04771","degP, htrA","serine protease Do","0.0015","0.0052","Carboxydothermus hydrogenoformans"
"chy","CHY_0061","K01677","E4.2.1.2AA, fumA","fumarate hydratase subunit alpha","0.1422","0.0503","Carboxydothermus hydrogenoformans"
"chy","CHY_0062","K01678","E4.2.1.2AB, fumB","fumarate hydratase subunit beta","0.1422","0.0503","Carboxydothermus hydrogenoformans"
"chy","CHY_0063","K00239","sdhA, frdA","succinate dehydrogenase / fumarate reductase, flavoprotein subunit","0.2684","0.2219","Carboxydothermus hydrogenoformans"
"chy","CHY_0064","K00240","sdhB, frdB","succinate dehydrogenase / fumarate reductase, iron-sulfur subunit","0.2338","0.2373","Carboxydothermus hydrogenoformans"
"chy","CHY_0065","K00241","sdhC, frdC","succinate dehydrogenase / fumarate reductase, cytochrome b subunit","0.2684","0.2467","Carboxydothermus hydrogenoformans"
"chy","CHY_0067","K01753","dsdA","D-serine dehydratase","0.0000 ","0.0002","Carboxydothermus hydrogenoformans"
"chy","CHY_0072","K04751","glnB","nitrogen regulatory protein P-II 1","0.0152","0.0102","Carboxydothermus hydrogenoformans"
"chy","CHY_0076","K16328","psuK","pseudouridine kinase","0.0000 ","0.1266","Carboxydothermus hydrogenoformans"
"chy","CHY_0077","K16329","psuG","pseudouridylate synthase","0.0000 ","0.1240","Carboxydothermus hydrogenoformans"
"chy","CHY_0085","K00198","cooS, acsA","anaerobic carbon-monoxide dehydrogenase catalytic subunit","0.0000 ","0.0000 ","Carboxydothermus hydrogenoformans"
"chy","CHY_0104","K01953","asnB, ASNS","asparagine synthase (glutamine-hydrolysing)","0.0302","0.0397","Carboxydothermus hydrogenoformans"
"chy","CHY_0113","K19302","bcrC","undecaprenyl-diphosphatase","0.0000 ","0.0619","Carboxydothermus hydrogenoformans"
"chy","CHY_0120","K01912","paaK","phenylacetate-CoA ligase","0.0000 ","0.0000 ","Carboxydothermus hydrogenoformans"
"chy","CHY_0124","K01887","RARS, argS","arginyl-tRNA synthetase","0.5800","0.5082","Carboxydothermus hydrogenoformans"
"chy","CHY_0125","K01937","pyrG, CTPS","CTP synthase","0.7895","0.5413","Carboxydothermus hydrogenoformans"
"chy","CHY_0128","K01624","FBA, fbaA","fructose-bisphosphate aldolase, class II","0.5327","0.3946","Carboxydothermus hydrogenoformans"
"chy","CHY_0129","K00616","E2.2.1.2, talA, talB","transaldolase","0.2499","0.2247","Carboxydothermus hydrogenoformans"
"chy","CHY_0130","K03628","rho","transcription termination factor Rho","0.2427","0.1615","Carboxydothermus hydrogenoformans"
"chy","CHY_0138","K00789","metK","S-adenosylmethionine synthetase","0.7119","0.5349","Carboxydothermus hydrogenoformans"
"chy","CHY_0162","K03070","secA","preprotein translocase subunit SecA","0.3906","0.4886","Carboxydothermus hydrogenoformans"
"chy","CHY_0165","K00615","E2.2.1.1, tktA, tktB","transketolase","0.4726","0.6145","Carboxydothermus hydrogenoformans"
"chy","CHY_0166","K00615","E2.2.1.1, tktA, tktB","transketolase","0.4726","0.6145","Carboxydothermus hydrogenoformans"
"chy","CHY_0167","K09812","ftsE","cell division transport system ATP-binding protein","0.1086","0.0737","Carboxydothermus hydrogenoformans"
"chy","CHY_0168","K09811","ftsX","cell division transport system permease protein","0.1399","0.0813","Carboxydothermus hydrogenoformans"
"chy","CHY_0179","K21929","udg","uracil-DNA glycosylase","0.0000 ","0.0182","Carboxydothermus hydrogenoformans"
"chy","CHY_0188","K00919","ispE","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","0.5198","0.4114","Carboxydothermus hydrogenoformans"
"chy","CHY_0191","K01754","E4.3.1.19, ilvA, tdcB","threonine dehydratase","0.2176","0.1963","Carboxydothermus hydrogenoformans"
"chy","CHY_0192","K04042","glmU","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase","0.5073","0.2081","Carboxydothermus hydrogenoformans"
"chy","CHY_0193","K00948","PRPS, prsA","ribose-phosphate pyrophosphokinase","0.7656","0.8943","Carboxydothermus hydrogenoformans"
"chy","CHY_0195","K02897","RP-L25, rplY","large subunit ribosomal protein L25","0.0966","0.3652","Carboxydothermus hydrogenoformans"
"chy","CHY_0200","K03723","mfd","transcription-repair coupling factor (superfamily II helicase)","0.0010","0.0189","Carboxydothermus hydrogenoformans"
"chy","CHY_0211","K01524","ppx-gppA","exopolyphosphatase / guanosine-5-triphosphate,3-diphosphate pyrophosphatase","0.0111","0.0535","Carboxydothermus hydrogenoformans"
"chy","CHY_0215","K00940","ndk, NME","nucleoside-diphosphate kinase","0.7341","0.8327","Carboxydothermus hydrogenoformans"
"chy","CHY_0229","K05592","deaD, cshA","ATP-dependent RNA helicase DeaD","0.0000 ","0.0313","Carboxydothermus hydrogenoformans"
"chy","CHY_0231","K00949","thiN, TPK1, THI80","thiamine pyrophosphokinase","0.0796","0.0972","Carboxydothermus hydrogenoformans"
"chy","CHY_0237","K00806","uppS","undecaprenyl diphosphate synthase","0.6186","0.2407","Carboxydothermus hydrogenoformans"
"chy","CHY_0239","K01810","GPI, pgi","glucose-6-phosphate isomerase","0.3262","0.3873","Carboxydothermus hydrogenoformans"
"chy","CHY_0242","K15876","nrfH","cytochrome c nitrite reductase small subunit","0.0000 ","0.0033","Carboxydothermus hydrogenoformans"
"chy","CHY_0243","K03385","nrfA","nitrite reductase (cytochrome c-552)","0.0029","0.0053","Carboxydothermus hydrogenoformans"
"chy","CHY_0249","K01895","ACSS, acs","acetyl-CoA synthetase","0.0111","0.0269","Carboxydothermus hydrogenoformans"
"chy","CHY_0255","K03823","pat","phosphinothricin acetyltransferase","0.0000 ","0.0002","Carboxydothermus hydrogenoformans"
"chy","CHY_0258","K03702","uvrB","excinuclease ABC subunit B","0.0041","0.0270","Carboxydothermus hydrogenoformans"
"chy","CHY_0259","K03701","uvrA","excinuclease ABC subunit A","0.0009","0.0194","Carboxydothermus hydrogenoformans"
"chy","CHY_0264","K01905","E6.2.1.13","acetyl-CoA synthetase (ADP-forming)","0.0544","0.0255","Carboxydothermus hydrogenoformans"
"chy","CHY_0267","K03703","uvrC","excinuclease ABC subunit C","0.0009","0.0153","Carboxydothermus hydrogenoformans"
"chy","CHY_0270","K00845","glk","glucokinase","0.0051","0.0269","Carboxydothermus hydrogenoformans"
"chy","CHY_0279","K03092","SIG54, rpoN","RNA polymerase sigma-54 factor","0.0055","0.0160","Carboxydothermus hydrogenoformans"
"chy","CHY_0280","K00134","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase","0.5166","0.5281","Carboxydothermus hydrogenoformans"
"chy","CHY_0281","K00927","PGK, pgk","phosphoglycerate kinase","0.3906","0.5214","Carboxydothermus hydrogenoformans"
