"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"lax","APT61_00005","K02108","ATPF0A, atpB","F-type H+-transporting ATPase subunit a","0.3003","0.3956","Leclercia adecarboxylata"
"lax","APT61_00035","K01914","asnA","aspartate--ammonia ligase","0.0426","0.0290","Leclercia adecarboxylata"
"lax","APT61_00055","K06726","rbsD","D-ribose pyranase","0.0000 ","0.0053","Leclercia adecarboxylata"
"lax","APT61_00060","K10441","rbsA","ribose transport system ATP-binding protein","0.0000 ","0.0057","Leclercia adecarboxylata"
"lax","APT61_00065","K10440","rbsC","ribose transport system permease protein","0.0000 ","0.0053","Leclercia adecarboxylata"
"lax","APT61_00070","K10439","rbsB","ribose transport system substrate-binding protein","0.0020","0.0020","Leclercia adecarboxylata"
"lax","APT61_00075","K00852","rbsK, RBKS","ribokinase","0.0015","0.0048","Leclercia adecarboxylata"
"lax","APT61_00100","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Leclercia adecarboxylata"
"lax","APT61_00105","K14224","tRNA-Glu","tRNA Glu","0.0000 ","0.2024","Leclercia adecarboxylata"
"lax","APT61_00110","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Leclercia adecarboxylata"
"lax","APT61_00115","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Leclercia adecarboxylata"
"lax","APT61_00125","K03752","mobA","molybdenum cofactor guanylyltransferase","0.0000 ","0.0063","Leclercia adecarboxylata"
"lax","APT61_00140","K03673","dsbA","thiol:disulfide interchange protein DsbA","0.0000 ","0.0184","Leclercia adecarboxylata"
"lax","APT61_00150","K02335","DPO1, polA","DNA polymerase I","0.7656","0.8943","Leclercia adecarboxylata"
"lax","APT61_00165","K02495","hemN, hemZ","oxygen-independent coproporphyrinogen III oxidase","0.3500","0.1348","Leclercia adecarboxylata"
"lax","APT61_00170","K07712","glnG, ntrC","two-component system, NtrC family, nitrogen regulation response regulator GlnG","0.0000 ","0.0011","Leclercia adecarboxylata"
"lax","APT61_00175","K07708","glnL, ntrB","two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL","0.0000 ","0.0007","Leclercia adecarboxylata"
"lax","APT61_00180","K01915","glnA, GLUL","glutamine synthetase","0.4736","0.4162","Leclercia adecarboxylata"
"lax","APT61_00220","K08318","yihU","4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase","0.0000 ","0.0007","Leclercia adecarboxylata"
"lax","APT61_00235","K20866","yihX","glucose-1-phosphatase","0.0031","0.1120","Leclercia adecarboxylata"
"lax","APT61_00255","K07804","pagC","putatice virulence related protein PagC","0.0000 ","0.0210","Leclercia adecarboxylata"
"lax","APT61_00335","K00127","fdoI","formate dehydrogenase subunit gamma","0.0000 ","0.0000 ","Leclercia adecarboxylata"
"lax","APT61_00340","K00124","fdoH","formate dehydrogenase iron-sulfur subunit","0.0000 ","0.0004","Leclercia adecarboxylata"
"lax","APT61_00345","K00123","fdoG, fdfH","formate dehydrogenase major subunit","0.0000 ","0.0001","Leclercia adecarboxylata"
"lax","APT61_00350","K00123","fdoG, fdfH","formate dehydrogenase major subunit","0.0000 ","0.0001","Leclercia adecarboxylata"
"lax","APT61_00385","K07407","E3.2.1.22B, galA, rafA","alpha-galactosidase","0.0000 ","0.0000 ","Leclercia adecarboxylata"
"lax","APT61_00405","K10561","rhaQ","rhamnose transport system permease protein","0.0000 ","0.0053","Leclercia adecarboxylata"
"lax","APT61_00410","K10560","rhaP","rhamnose transport system permease protein","0.0000 ","0.0053","Leclercia adecarboxylata"
"lax","APT61_00415","K10562","rhaT","rhamnose transport system ATP-binding protein","0.0000 ","0.0057","Leclercia adecarboxylata"
"lax","APT61_00420","K10559","rhaS","rhamnose transport system substrate-binding protein","0.0000 ","0.0057","Leclercia adecarboxylata"
"lax","APT61_00425","K01629","rhaD","rhamnulose-1-phosphate aldolase","0.0000 ","0.0000 ","Leclercia adecarboxylata"
"lax","APT61_00430","K01813","rhaA","L-rhamnose isomerase","0.0000 ","0.0002","Leclercia adecarboxylata"
"lax","APT61_00435","K00848","rhaB","rhamnulokinase","0.0000 ","0.0007","Leclercia adecarboxylata"
"lax","APT61_00460","K07640","cpxA","two-component system, OmpR family, sensor histidine kinase CpxA","0.0000 ","0.0012","Leclercia adecarboxylata"
"lax","APT61_00465","K07662","cpxR","two-component system, OmpR family, response regulator CpxR","0.0000 ","0.0027","Leclercia adecarboxylata"
"lax","APT61_00480","K00850","pfkA, PFK","6-phosphofructokinase 1","0.5774","0.5374","Leclercia adecarboxylata"
"lax","APT61_00485","K02048","cysP, sbp","sulfate transport system substrate-binding protein","0.0000 ","0.0000 ","Leclercia adecarboxylata"
"lax","APT61_00490","K01521","cdh","CDP-diacylglycerol pyrophosphatase","0.0000 ","0.0333","Leclercia adecarboxylata"
"lax","APT61_00500","K01803","TPI, tpiA","triosephosphate isomerase (TIM)","0.5625","0.7010","Leclercia adecarboxylata"
"lax","APT61_00520","K02446","glpX","fructose-1,6-bisphosphatase II","0.5073","0.5094","Leclercia adecarboxylata"
"lax","APT61_00525","K00864","glpK, GK","glycerol kinase","0.0046","0.0302","Leclercia adecarboxylata"
"lax","APT61_00555","K02548","menA","1,4-dihydroxy-2-naphthoate octaprenyltransferase","0.0722","0.0758","Leclercia adecarboxylata"
"lax","APT61_00580","K04066","priA","primosomal protein N (replication factor Y) (superfamily II helicase)","0.1039","0.1241","Leclercia adecarboxylata"
"lax","APT61_00585","K02909","RP-L31, rpmE","large subunit ribosomal protein L31","0.1218","0.4008","Leclercia adecarboxylata"
"lax","APT61_00600","K01739","metB","cystathionine gamma-synthase","0.0321","0.0993","Leclercia adecarboxylata"
"lax","APT61_00605","K12525","metL","bifunctional aspartokinase / homoserine dehydrogenase 2","0.3745","0.3181","Leclercia adecarboxylata"
"lax","APT61_00610","K00297","metF, MTHFR","methylenetetrahydrofolate reductase (NADPH)","0.0012","0.0130","Leclercia adecarboxylata"
"lax","APT61_00615","K03782","katG","catalase-peroxidase","0.0071","0.0192","Leclercia adecarboxylata"
"lax","APT61_00620","K00005","gldA","glycerol dehydrogenase","0.0000 ","0.0000 ","Leclercia adecarboxylata"
"lax","APT61_00630","K08483","PTS-EI.PTSI, ptsI","phosphotransferase system, enzyme I, PtsI","0.0137","0.0186","Leclercia adecarboxylata"
"lax","APT61_00645","K00656","E2.3.1.54, pflD","formate C-acetyltransferase","0.7260","0.7634","Leclercia adecarboxylata"
"lax","APT61_00665","K01595","ppc","phosphoenolpyruvate carboxylase","0.0895","0.1205","Leclercia adecarboxylata"
"lax","APT61_00670","K01438","argE","acetylornithine deacetylase","0.0579","0.0640","Leclercia adecarboxylata"
"lax","APT61_00675","K00145","argC","N-acetyl-gamma-glutamyl-phosphate reductase","0.0463","0.0630","Leclercia adecarboxylata"
"lax","APT61_00680","K00930","argB","acetylglutamate kinase","0.0463","0.0630","Leclercia adecarboxylata"
"lax","APT61_00685","K01755","argH, ASL","argininosuccinate lyase","0.1192","0.1646","Leclercia adecarboxylata"
"lax","APT61_00695","K00322","sthA, udhA","NAD(P) transhydrogenase","0.4649","0.2525","Leclercia adecarboxylata"
"lax","APT61_00720","K01776","murI","glutamate racemase","0.3599","0.4250","Leclercia adecarboxylata"
"lax","APT61_00730","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Leclercia adecarboxylata"
"lax","APT61_00735","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Leclercia adecarboxylata"
"lax","APT61_00740","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Leclercia adecarboxylata"
"lax","APT61_00745","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Leclercia adecarboxylata"
"lax","APT61_00750","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Leclercia adecarboxylata"
"lax","APT61_00755","K14221","tRNA-Asp","tRNA Asp","0.0000 ","0.2024","Leclercia adecarboxylata"
"lax","APT61_00760","K14235","tRNA-Trp","tRNA Trp","0.0060","0.2024","Leclercia adecarboxylata"
"lax","APT61_00780","K01652","E2.2.1.6L, ilvB, ilvG, ilvI","acetolactate synthase I/II/III large subunit","0.0184","0.0311","Leclercia adecarboxylata"
"lax","APT61_00785","K11258","ilvM","acetolactate synthase II small subunit","0.0426","0.0408","Leclercia adecarboxylata"
"lax","APT61_00790","K00826","E2.6.1.42, ilvE","branched-chain amino acid aminotransferase","0.0166","0.0653","Leclercia adecarboxylata"
"lax","APT61_00795","K01687","ilvD","dihydroxy-acid dehydratase","0.0429","0.0806","Leclercia adecarboxylata"
"lax","APT61_00800","K01754","E4.3.1.19, ilvA, tdcB","threonine dehydratase","0.2176","0.1963","Leclercia adecarboxylata"
"lax","APT61_00810","K00053","ilvC","ketol-acid reductoisomerase","0.0563","0.1147","Leclercia adecarboxylata"
"lax","APT61_00830","K01524","ppx-gppA","exopolyphosphatase / guanosine-5-triphosphate,3-diphosphate pyrophosphatase","0.0111","0.0535","Leclercia adecarboxylata"
"lax","APT61_00835","K03732","rhlB","ATP-dependent RNA helicase RhlB","0.0026","0.0313","Leclercia adecarboxylata"
"lax","APT61_00845","K03628","rho","transcription termination factor Rho","0.2427","0.1615","Leclercia adecarboxylata"
"lax","APT61_00860","K01791","wecB","UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing)","0.0075","0.0070","Leclercia adecarboxylata"
"lax","APT61_00865","K02472","wecC","UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase","0.0000 ","0.0056","Leclercia adecarboxylata"
"lax","APT61_00905","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Leclercia adecarboxylata"
"lax","APT61_00910","K14226","tRNA-His","tRNA His","0.0000 ","0.2024","Leclercia adecarboxylata"
"lax","APT61_00915","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Leclercia adecarboxylata"
"lax","APT61_00920","K14232","tRNA-Pro","tRNA Pro","0.0000 ","0.2024","Leclercia adecarboxylata"
"lax","APT61_00940","K02496","hemX","uroporphyrin-III C-methyltransferase","0.0221","0.0383","Leclercia adecarboxylata"
"lax","APT61_00945","K01719","hemD, UROS","uroporphyrinogen-III synthase","0.3727","0.2247","Leclercia adecarboxylata"
"lax","APT61_00950","K01749","hemC, HMBS","hydroxymethylbilane synthase","0.4471","0.2333","Leclercia adecarboxylata"
"lax","APT61_00955","K05851","cyaA","adenylate cyclase, class 1","0.0031","0.0048","Leclercia adecarboxylata"
"lax","APT61_00970","K01778","dapF","diaminopimelate epimerase","0.3297","0.2269","Leclercia adecarboxylata"
"lax","APT61_00985","K20862","yigB","FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase","0.5680","0.1942","Leclercia adecarboxylata"
