"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"ahl","AHTJS_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Acinetobacter haemolyticus"
"ahl","AHTJS_00010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Acinetobacter haemolyticus"
"ahl","AHTJS_00015","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Acinetobacter haemolyticus"
"ahl","AHTJS_00075","K01866","YARS, tyrS","tyrosyl-tRNA synthetase","0.6601","0.5571","Acinetobacter haemolyticus"
"ahl","AHTJS_00080","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Acinetobacter haemolyticus"
"ahl","AHTJS_00085","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Acinetobacter haemolyticus"
"ahl","AHTJS_00090","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Acinetobacter haemolyticus"
"ahl","AHTJS_00095","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Acinetobacter haemolyticus"
"ahl","AHTJS_00100","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Acinetobacter haemolyticus"
"ahl","AHTJS_00150","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Acinetobacter haemolyticus"
"ahl","AHTJS_00155","K01687","ilvD","dihydroxy-acid dehydratase","0.0429","0.0806","Acinetobacter haemolyticus"
"ahl","AHTJS_00180","K01595","ppc","phosphoenolpyruvate carboxylase","0.0895","0.1205","Acinetobacter haemolyticus"
"ahl","AHTJS_00210","K00215","dapB","4-hydroxy-tetrahydrodipicolinate reductase","0.5376","0.5651","Acinetobacter haemolyticus"
"ahl","AHTJS_00250","K01246","tag","DNA-3-methyladenine glycosylase I","0.0012","0.0100","Acinetobacter haemolyticus"
"ahl","AHTJS_00265","K03575","mutY","A/G-specific adenine glycosylase","0.0000 ","0.0035","Acinetobacter haemolyticus"
"ahl","AHTJS_00290","K01467","ampC","beta-lactamase class C","0.0000 ","0.0009","Acinetobacter haemolyticus"
"ahl","AHTJS_00305","K01923","purC","phosphoribosylaminoimidazole-succinocarboxamide synthase","0.0544","0.0920","Acinetobacter haemolyticus"
"ahl","AHTJS_00315","K01714","dapA","4-hydroxy-tetrahydrodipicolinate synthase","0.4899","0.3442","Acinetobacter haemolyticus"
"ahl","AHTJS_00320","K08281","pncA","nicotinamidase/pyrazinamidase","0.0000 ","0.1532","Acinetobacter haemolyticus"
"ahl","AHTJS_00385","K00820","glmS, GFPT","glucosamine--fructose-6-phosphate aminotransferase (isomerizing)","0.6712","0.7161","Acinetobacter haemolyticus"
"ahl","AHTJS_00390","K04042","glmU","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase","0.5073","0.2081","Acinetobacter haemolyticus"
"ahl","AHTJS_00395","K01095","pgpA","phosphatidylglycerophosphatase A","0.1284","0.0766","Acinetobacter haemolyticus"
"ahl","AHTJS_00400","K00946","thiL","thiamine-monophosphate kinase","0.4471","0.2865","Acinetobacter haemolyticus"
"ahl","AHTJS_00410","K00794","ribH, RIB4","6,7-dimethyl-8-ribityllumazine synthase","0.2177","0.2963","Acinetobacter haemolyticus"
"ahl","AHTJS_00415","K14652","ribBA","3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II","0.3054","0.3176","Acinetobacter haemolyticus"
"ahl","AHTJS_00425","K01079","serB, PSPH","phosphoserine phosphatase","0.0631","0.1324","Acinetobacter haemolyticus"
"ahl","AHTJS_00445","K00763","pncB, NAPRT1","nicotinate phosphoribosyltransferase","0.0685","0.2006","Acinetobacter haemolyticus"
"ahl","AHTJS_00450","K01011","TST, MPST, sseA","thiosulfate/3-mercaptopyruvate sulfurtransferase","0.0152","0.0317","Acinetobacter haemolyticus"
"ahl","AHTJS_00455","K01613","psd, PISD","phosphatidylserine decarboxylase","0.2176","0.1484","Acinetobacter haemolyticus"
"ahl","AHTJS_00490","K07636","phoR","two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR","0.0120","0.0013","Acinetobacter haemolyticus"
"ahl","AHTJS_00495","K07657","phoB","two-component system, OmpR family, phosphate regulon response regulator PhoB","0.0064","0.0028","Acinetobacter haemolyticus"
"ahl","AHTJS_00540","K01919","gshA","glutamate--cysteine ligase","0.0526","0.0617","Acinetobacter haemolyticus"
"ahl","AHTJS_00565","K11959","urtA","urea transport system substrate-binding protein","0.0039","0.0058","Acinetobacter haemolyticus"
"ahl","AHTJS_00570","K11960","urtB","urea transport system permease protein","0.0000 ","0.0053","Acinetobacter haemolyticus"
"ahl","AHTJS_00575","K11961","urtC","urea transport system permease protein","0.0039","0.0061","Acinetobacter haemolyticus"
"ahl","AHTJS_00580","K11962","urtD","urea transport system ATP-binding protein","0.0000 ","0.0053","Acinetobacter haemolyticus"
"ahl","AHTJS_00585","K11963","urtE","urea transport system ATP-binding protein","0.0044","0.0056","Acinetobacter haemolyticus"
"ahl","AHTJS_00595","K03823","pat","phosphinothricin acetyltransferase","0.0000 ","0.0002","Acinetobacter haemolyticus"
"ahl","AHTJS_00625","K00799","GST, gst","glutathione S-transferase","0.0402","0.0384","Acinetobacter haemolyticus"
"ahl","AHTJS_00650","K01142","E3.1.11.2, xthA","exodeoxyribonuclease III","0.0010","0.0110","Acinetobacter haemolyticus"
"ahl","AHTJS_00655","K00762","pyrE","orotate phosphoribosyltransferase","0.0259","0.1665","Acinetobacter haemolyticus"
"ahl","AHTJS_00700","K00432","gpx","glutathione peroxidase","0.0000 ","0.0000 ","Acinetobacter haemolyticus"
"ahl","AHTJS_00705","K01920","gshB","glutathione synthase","0.0144","0.0293","Acinetobacter haemolyticus"
"ahl","AHTJS_00710","K02563","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","0.7026","0.5912","Acinetobacter haemolyticus"
"ahl","AHTJS_00715","K01924","murC","UDP-N-acetylmuramate--alanine ligase","0.8149","0.6201","Acinetobacter haemolyticus"
"ahl","AHTJS_00720","K01921","ddl","D-alanine-D-alanine ligase","0.5987","0.5198","Acinetobacter haemolyticus"
"ahl","AHTJS_00740","K02535","lpxC","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase","0.4346","0.2421","Acinetobacter haemolyticus"
