"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"arl","AFL94_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Arthrobacter sp. LS16"
"arl","AFL94_00010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Arthrobacter sp. LS16"
"arl","AFL94_00015","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Arthrobacter sp. LS16"
"arl","AFL94_00040","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Arthrobacter sp. LS16"
"arl","AFL94_00045","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Arthrobacter sp. LS16"
"arl","AFL94_00050","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Arthrobacter sp. LS16"
"arl","AFL94_00075","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Arthrobacter sp. LS16"
"arl","AFL94_00115","K01664","pabA","para-aminobenzoate synthetase component II","0.0024","0.1645","Arthrobacter sp. LS16"
"arl","AFL94_00130","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Arthrobacter sp. LS16"
"arl","AFL94_00155","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Arthrobacter sp. LS16"
"arl","AFL94_00175","K01239","iunH","purine nucleosidase","0.0221","0.0143","Arthrobacter sp. LS16"
"arl","AFL94_00180","K01061","E3.1.1.45","carboxymethylenebutenolidase","0.0000 ","0.0000 ","Arthrobacter sp. LS16"
"arl","AFL94_00195","K01715","crt","enoyl-CoA hydratase","0.0241","0.0208","Arthrobacter sp. LS16"
"arl","AFL94_00205","K00847","E2.7.1.4, scrK","fructokinase","0.0013","0.0090","Arthrobacter sp. LS16"
"arl","AFL94_00215","K01126","E3.1.4.46, glpQ, ugpQ","glycerophosphoryl diester phosphodiesterase","0.0000 ","0.0333","Arthrobacter sp. LS16"
"arl","AFL94_00225","K05342","E2.4.1.64","alpha,alpha-trehalose phosphorylase","0.0544","0.0078","Arthrobacter sp. LS16"
"arl","AFL94_00240","K00941","thiD","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","0.1238","0.1645","Arthrobacter sp. LS16"
