"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"sbe","RAAC3_TM7C01G0005","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0009","K02428","rdgB","XTP/dITP diphosphohydrolase","0.2749","0.2063","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0016","K01972","E6.5.1.2, ligA, ligB","DNA ligase (NAD+)","0.7656","0.6583","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0023","K00969","nadD","nicotinate-nucleotide adenylyltransferase","0.4583","0.4141","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0024","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0025","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0026","K03075","secG","preprotein translocase subunit SecG","0.0644","0.3115","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0030","K03703","uvrC","excinuclease ABC subunit C","0.0009","0.0153","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0037","K01247","alkA","DNA-3-methyladenine glycosylase II","0.0000 ","0.0035","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0041","K02897","RP-L25, rplY","large subunit ribosomal protein L25","0.0966","0.3652","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0043","K03701","uvrA","excinuclease ABC subunit A","0.0009","0.0194","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0045","K01141","sbcB, exoI","exodeoxyribonuclease I","0.0029","0.0124","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0053","K01872","AARS, alaS","alanyl-tRNA synthetase","0.6601","0.5571","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0055","K02456","gspG","general secretion pathway protein G","0.0000 ","0.0007","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0056","K00566","mnmA, trmU","tRNA-uridine 2-sulfurtransferase","0.5166","0.3627","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0058","K04487","iscS, NFS1","cysteine desulfurase","0.4010","0.3030","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0062","K01874","MARS, metG","methionyl-tRNA synthetase","0.3906","0.3932","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0066","K03657","uvrD, pcrA","DNA helicase II / ATP-dependent DNA helicase PcrA","0.0351","0.0917","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0068","K01803","TPI, tpiA","triosephosphate isomerase (TIM)","0.5625","0.7010","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0069","K00927","PGK, pgk","phosphoglycerate kinase","0.3906","0.5214","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0070","K00873","PK, pyk","pyruvate kinase","0.7341","0.8327","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0093","K14224","tRNA-Glu","tRNA Glu","0.0000 ","0.2024","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0100","K01491","folD","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase","0.4306","0.4659","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0102","K11754","folC","dihydrofolate synthase / folylpolyglutamate synthase","0.5987","0.4070","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0108","K00075","murB","UDP-N-acetylmuramate dehydrogenase","0.7026","0.7608","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0112","K02650","pilA","type IV pilus assembly protein PilA","0.0000 ","0.0008","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0113","K02650","pilA","type IV pilus assembly protein PilA","0.0000 ","0.0008","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0114","K02650","pilA","type IV pilus assembly protein PilA","0.0000 ","0.0008","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
"sbe","RAAC3_TM7C01G0115","K00600","glyA, SHMT","glycine hydroxymethyltransferase","0.3164","0.4597","Candidatus Saccharibacteria bacterium RAAC3_TM7_1"
