"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"rme","Rmet_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Cupriavidus metallidurans"
"rme","Rmet_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Cupriavidus metallidurans"
"rme","Rmet_0010","K10112","msmX, msmK, malK, sugC, ggtA, msiK","multiple sugar transport system ATP-binding protein","0.0080","0.0057","Cupriavidus metallidurans"
"rme","Rmet_0018","K00432","gpx","glutathione peroxidase","0.0000 ","0.0000 ","Cupriavidus metallidurans"
"rme","Rmet_0021","K01451","hipO","hippurate hydrolase","0.0000 ","0.0002","Cupriavidus metallidurans"
"rme","Rmet_0038","K01546","kdpA","K+-transporting ATPase ATPase A chain","0.0000 ","0.0007","Cupriavidus metallidurans"
"rme","Rmet_0039","K01547","kdpB","K+-transporting ATPase ATPase B chain","0.0000 ","0.0007","Cupriavidus metallidurans"
"rme","Rmet_0040","K01548","kdpC","K+-transporting ATPase ATPase C chain","0.0000 ","0.0007","Cupriavidus metallidurans"
"rme","Rmet_0041","K07646","kdpD","two-component system, OmpR family, sensor histidine kinase KdpD","0.0000 ","0.0007","Cupriavidus metallidurans"
"rme","Rmet_0042","K07667","kdpE","two-component system, OmpR family, KDP operon response regulator KdpE","0.0000 ","0.0024","Cupriavidus metallidurans"
"rme","Rmet_0046","K02434","gatB, PET112","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B","0.5916","0.4150","Cupriavidus metallidurans"
"rme","Rmet_0049","K02433","gatA, QRSL1","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A","0.5916","0.2286","Cupriavidus metallidurans"
"rme","Rmet_0050","K02435","gatC, GATC","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C","0.4842","0.3799","Cupriavidus metallidurans"
"rme","Rmet_0054","K05515","mrdA","penicillin-binding protein 2","0.2106","0.0687","Cupriavidus metallidurans"
"rme","Rmet_0060","K03801","lipB","lipoyl(octanoyl) transferase","0.3018","0.2428","Cupriavidus metallidurans"
"rme","Rmet_0061","K03644","lipA","lipoyl synthase","0.2427","0.2360","Cupriavidus metallidurans"
"rme","Rmet_0070","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Cupriavidus metallidurans"
"rme","Rmet_0071","K02065","mlaF, linL, mkl","phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein","0.0012","0.0117","Cupriavidus metallidurans"
"rme","Rmet_0072","K02066","mlaE, linK","phospholipid/cholesterol/gamma-HCH transport system permease protein","0.0012","0.0117","Cupriavidus metallidurans"
"rme","Rmet_0073","K03524","birA","BirA family transcriptional regulator, biotin operon repressor / biotin-[acetyl-CoA-carboxylase] ligase","0.5498","0.3672","Cupriavidus metallidurans"
"rme","Rmet_0074","K03525","coaX","type III pantothenate kinase","0.4954","0.4088","Cupriavidus metallidurans"
"rme","Rmet_0076","K21345","rfaE2","D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase","0.0882","0.0267","Cupriavidus metallidurans"
"rme","Rmet_0080","K01692","paaF, echA","enoyl-CoA hydratase","0.0091","0.0090","Cupriavidus metallidurans"
"rme","Rmet_0081","K16171","faaH","fumarylacetoacetate (FAA) hydrolase","0.0000 ","0.0000 ","Cupriavidus metallidurans"
"rme","Rmet_0084","K01055","pcaD","3-oxoadipate enol-lactonase","0.0000 ","0.0032","Cupriavidus metallidurans"
"rme","Rmet_0087","K00548","metH, MTR","5-methyltetrahydrofolate--homocysteine methyltransferase","0.0551","0.0781","Cupriavidus metallidurans"
"rme","Rmet_0088","K00548","metH, MTR","5-methyltetrahydrofolate--homocysteine methyltransferase","0.0551","0.0781","Cupriavidus metallidurans"
"rme","Rmet_0096","K01887","RARS, argS","arginyl-tRNA synthetase","0.5800","0.5082","Cupriavidus metallidurans"
"rme","Rmet_0098","K03673","dsbA","thiol:disulfide interchange protein DsbA","0.0000 ","0.0184","Cupriavidus metallidurans"
"rme","Rmet_0103","K00253","IVD, ivd","isovaleryl-CoA dehydrogenase","0.0106","0.0046","Cupriavidus metallidurans"
"rme","Rmet_0105","K01673","cynT, can","carbonic anhydrase","0.0399","0.0279","Cupriavidus metallidurans"
"rme","Rmet_0106","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Cupriavidus metallidurans"
"rme","Rmet_0113","K13766","liuC","methylglutaconyl-CoA hydratase","0.0051","0.0034","Cupriavidus metallidurans"
"rme","Rmet_0114","K00833","bioA","adenosylmethionine---8-amino-7-oxononanoate aminotransferase","0.0190","0.0731","Cupriavidus metallidurans"
"rme","Rmet_0115","K00652","bioF","8-amino-7-oxononanoate synthase","0.0414","0.0827","Cupriavidus metallidurans"
"rme","Rmet_0116","K01935","bioD","dethiobiotin synthetase","0.0414","0.1142","Cupriavidus metallidurans"
"rme","Rmet_0117","K01012","bioB","biotin synthase","0.0544","0.1254","Cupriavidus metallidurans"
"rme","Rmet_0118","K12972","ghrA","glyoxylate/hydroxypyruvate reductase A","0.0127","0.0432","Cupriavidus metallidurans"
"rme","Rmet_0129","K01561","dehH","haloacetate dehalogenase","0.0000 ","0.0032","Cupriavidus metallidurans"
"rme","Rmet_0135","K15012","regA, regR, actR","two-component system, response regulator RegA","0.0000 ","0.0007","Cupriavidus metallidurans"
"rme","Rmet_0136","K15011","regB, regS, actS","two-component system, sensor histidine kinase RegB","0.0000 ","0.0013","Cupriavidus metallidurans"
"rme","Rmet_0140","K00930","argB","acetylglutamate kinase","0.0463","0.0630","Cupriavidus metallidurans"
"rme","Rmet_0143","K00641","metX","homoserine O-acetyltransferase","0.0342","0.0381","Cupriavidus metallidurans"
"rme","Rmet_0146","K08218","ampG","MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG","0.0000 ","0.0004","Cupriavidus metallidurans"
"rme","Rmet_0148","K00145","argC","N-acetyl-gamma-glutamyl-phosphate reductase","0.0463","0.0630","Cupriavidus metallidurans"
"rme","Rmet_0149","K01142","E3.1.11.2, xthA","exodeoxyribonuclease III","0.0010","0.0110","Cupriavidus metallidurans"
"rme","Rmet_0150","K00762","pyrE","orotate phosphoribosyltransferase","0.0259","0.1665","Cupriavidus metallidurans"
"rme","Rmet_0153","K01778","dapF","diaminopimelate epimerase","0.3297","0.2269","Cupriavidus metallidurans"
"rme","Rmet_0154","K02517","lpxL, htrB","Kdo2-lipid IVA lauroyltransferase","0.1623","0.0916","Cupriavidus metallidurans"
"rme","Rmet_0155","K02517","lpxL, htrB","Kdo2-lipid IVA lauroyltransferase","0.1623","0.0916","Cupriavidus metallidurans"
"rme","Rmet_0156","K00789","metK","S-adenosylmethionine synthetase","0.7119","0.5349","Cupriavidus metallidurans"
"rme","Rmet_0160","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Cupriavidus metallidurans"
"rme","Rmet_0162","K03147","thiC","phosphomethylpyrimidine synthase","0.0335","0.1146","Cupriavidus metallidurans"
"rme","Rmet_0163","K03153","thiO","glycine oxidase","0.0572","0.0832","Cupriavidus metallidurans"
"rme","Rmet_0164","K03154","thiS","sulfur carrier protein","0.0551","0.0894","Cupriavidus metallidurans"
"rme","Rmet_0165","K03149","thiG","thiazole synthase","0.1086","0.1495","Cupriavidus metallidurans"
"rme","Rmet_0166","K00788","thiE","thiamine-phosphate pyrophosphorylase","0.1443","0.1297","Cupriavidus metallidurans"
"rme","Rmet_0169","K00941","thiD","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","0.1238","0.1645","Cupriavidus metallidurans"
"rme","Rmet_0170","K01251","E3.3.1.1, ahcY","adenosylhomocysteinase","0.0534","0.0351","Cupriavidus metallidurans"
"rme","Rmet_0172","K00297","metF, MTHFR","methylenetetrahydrofolate reductase (NADPH)","0.0012","0.0130","Cupriavidus metallidurans"
"rme","Rmet_0177","K00329","E1.6.5.3","NADH dehydrogenase","0.0000 ","0.0363","Cupriavidus metallidurans"
"rme","Rmet_0178","K00799","GST, gst","glutathione S-transferase","0.0402","0.0384","Cupriavidus metallidurans"
"rme","Rmet_0183","K01633","folB","dihydroneopterin aldolase / 7,8-dihydroneopterin epimerase","0.4583","0.2731","Cupriavidus metallidurans"
"rme","Rmet_0186","K04042","glmU","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase","0.5073","0.2081","Cupriavidus metallidurans"
"rme","Rmet_0187","K00820","glmS, GFPT","glucosamine--fructose-6-phosphate aminotransferase (isomerizing)","0.6712","0.7161","Cupriavidus metallidurans"
"rme","Rmet_0194","K01497","ribA, RIB1","GTP cyclohydrolase II","0.4227","0.3180","Cupriavidus metallidurans"
"rme","Rmet_0195","K03594","bfr","bacterioferritin","0.0000 ","0.0280","Cupriavidus metallidurans"
"rme","Rmet_0196","K00619","argA","amino-acid N-acetyltransferase","0.1421","0.0509","Cupriavidus metallidurans"
"rme","Rmet_0200","K01703","leuC, IPMI-L","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit","0.0463","0.0763","Cupriavidus metallidurans"
"rme","Rmet_0201","K01704","leuD, IPMI-S","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","0.0482","0.0748","Cupriavidus metallidurans"
"rme","Rmet_0202","K01561","dehH","haloacetate dehalogenase","0.0000 ","0.0032","Cupriavidus metallidurans"
"rme","Rmet_0205","K00822","E2.6.1.18","beta-alanine--pyruvate transaminase","0.0000 ","0.0065","Cupriavidus metallidurans"
"rme","Rmet_0206","K00140","mmsA, iolA, ALDH6A1","malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase","0.0000 ","0.0040","Cupriavidus metallidurans"
"rme","Rmet_0212","K00074","paaH, hbd, fadB, mmgB","3-hydroxybutyryl-CoA dehydrogenase","0.0021","0.0057","Cupriavidus metallidurans"
"rme","Rmet_0214","K01897","ACSL, fadD","long-chain acyl-CoA synthetase","0.0000 ","0.0000 ","Cupriavidus metallidurans"
"rme","Rmet_0215","K01995","livG","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Cupriavidus metallidurans"
"rme","Rmet_0216","K01997","livH","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Cupriavidus metallidurans"
"rme","Rmet_0217","K01998","livM","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Cupriavidus metallidurans"
"rme","Rmet_0218","K01999","livK","branched-chain amino acid transport system substrate-binding protein","0.0000 ","0.0005","Cupriavidus metallidurans"
"rme","Rmet_0219","K01996","livF","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Cupriavidus metallidurans"
"rme","Rmet_0220","K01912","paaK","phenylacetate-CoA ligase","0.0000 ","0.0000 ","Cupriavidus metallidurans"
"rme","Rmet_0222","K00459","ncd2, npd","nitronate monooxygenase","0.0017","0.1220","Cupriavidus metallidurans"
"rme","Rmet_0225","K07258","dacC, dacA, dacD","serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6)","0.0012","0.0145","Cupriavidus metallidurans"
"rme","Rmet_0228","K11103","dctA","aerobic C4-dicarboxylate transport protein","0.0016","0.0023","Cupriavidus metallidurans"
"rme","Rmet_0229","K10125","dctB","two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB","0.0000 ","0.0007","Cupriavidus metallidurans"
"rme","Rmet_0230","K10126","dctD","two-component system, NtrC family, C4-dicarboxylate transport response regulator DctD","0.0000 ","0.0011","Cupriavidus metallidurans"
"rme","Rmet_0231","K10774","E4.3.1.23","tyrosine ammonia-lyase","0.0000 ","0.0203","Cupriavidus metallidurans"
"rme","Rmet_0232","K03657","uvrD, pcrA","DNA helicase II / ATP-dependent DNA helicase PcrA","0.0351","0.0917","Cupriavidus metallidurans"
"rme","Rmet_0242","K01919","gshA","glutamate--cysteine ligase","0.0526","0.0617","Cupriavidus metallidurans"
"rme","Rmet_0243","K01920","gshB","glutathione synthase","0.0144","0.0293","Cupriavidus metallidurans"
"rme","Rmet_0244","K02821","PTS-Ula-EIIA, ulaC, sgaA","PTS system, ascorbate-specific IIA component","0.0022","0.0063","Cupriavidus metallidurans"
"rme","Rmet_0246","K08483","PTS-EI.PTSI, ptsI","phosphotransferase system, enzyme I, PtsI","0.0137","0.0186","Cupriavidus metallidurans"
"rme","Rmet_0248","K03594","bfr","bacterioferritin","0.0000 ","0.0280","Cupriavidus metallidurans"
"rme","Rmet_0249","K21029","moeB","molybdopterin-synthase adenylyltransferase","0.0716","0.0757","Cupriavidus metallidurans"
"rme","Rmet_0251","K01834","PGAM, gpmA","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","0.4443","0.4971","Cupriavidus metallidurans"
"rme","Rmet_0254","K03071","secB","preprotein translocase subunit SecB","0.0016","0.2412","Cupriavidus metallidurans"
"rme","Rmet_0255","K00057","gpsA","glycerol-3-phosphate dehydrogenase (NAD(P)+)","0.2265","0.0904","Cupriavidus metallidurans"
"rme","Rmet_0259","K02169","bioC","malonyl-CoA O-methyltransferase","0.3922","0.0824","Cupriavidus metallidurans"
"rme","Rmet_0261","K02275","coxB","cytochrome c oxidase subunit II","0.0000 ","0.0171","Cupriavidus metallidurans"
"rme","Rmet_0262","K02274","coxA","cytochrome c oxidase subunit I","0.0000 ","0.0160","Cupriavidus metallidurans"
"rme","Rmet_0263","K02258","COX11","cytochrome c oxidase assembly protein subunit 11","0.0000 ","0.0160","Cupriavidus metallidurans"
"rme","Rmet_0265","K02276","coxC","cytochrome c oxidase subunit III","0.0000 ","0.0169","Cupriavidus metallidurans"
"rme","Rmet_0269","K02259","COX15","cytochrome c oxidase assembly protein subunit 15","0.0192","0.0252","Cupriavidus metallidurans"
"rme","Rmet_0270","K02257","COX10","protoheme IX farnesyltransferase","0.0286","0.0140","Cupriavidus metallidurans"
"rme","Rmet_0275","K15578","nrtC, nasD","nitrate/nitrite transport system ATP-binding protein","0.0000 ","0.0000 ","Cupriavidus metallidurans"
"rme","Rmet_0276","K15577","nrtB, nasE, cynB","nitrate/nitrite transport system permease protein","0.0000 ","0.0007","Cupriavidus metallidurans"
"rme","Rmet_0277","K15576","nrtA, nasF, cynA","nitrate/nitrite transport system substrate-binding protein","0.0000 ","0.0000 ","Cupriavidus metallidurans"
"rme","Rmet_0279","K16165","nagK","fumarylpyruvate hydrolase","0.0000 ","0.0000 ","Cupriavidus metallidurans"
"rme","Rmet_0280","K01801","nagL","maleylpyruvate isomerase","0.0000 ","0.0067","Cupriavidus metallidurans"
"rme","Rmet_0281","K03110","ftsY","fused signal recognition particle receptor","0.6601","0.5766","Cupriavidus metallidurans"
"rme","Rmet_0285","K00954","E2.7.7.3A, coaD, kdtB","pantetheine-phosphate adenylyltransferase","0.5327","0.4431","Cupriavidus metallidurans"
