"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"kor","AWR26_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Kosakonia oryzae"
"kor","AWR26_00010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Kosakonia oryzae"
"kor","AWR26_00015","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Kosakonia oryzae"
"kor","AWR26_00070","K02749","PTS-Glv-EIIB, glvB, malP, aglA","PTS system, alpha-glucoside-specific IIB component","0.0000 ","0.0005","Kosakonia oryzae"
"kor","AWR26_00075","K01232","glvA","maltose-6-phosphate glucosidase","0.0000 ","0.0043","Kosakonia oryzae"
"kor","AWR26_00095","K01753","dsdA","D-serine dehydratase","0.0000 ","0.0002","Kosakonia oryzae"
"kor","AWR26_00125","K01652","E2.2.1.6L, ilvB, ilvG, ilvI","acetolactate synthase I/II/III large subunit","0.0184","0.0311","Kosakonia oryzae"
"kor","AWR26_00130","K01653","E2.2.1.6S, ilvH, ilvN","acetolactate synthase I/III small subunit","0.0190","0.0562","Kosakonia oryzae"
"kor","AWR26_00145","K01569","oxdD","oxalate decarboxylase","0.0000 ","0.0716","Kosakonia oryzae"
"kor","AWR26_00155","K02759","PTS-Cel-EIIA, celC, chbA","PTS system, cellobiose-specific IIA component","0.0000 ","0.0002","Kosakonia oryzae"
"kor","AWR26_00160","K01223","E3.2.1.86B, bglA","6-phospho-beta-glucosidase","0.0000 ","0.0004","Kosakonia oryzae"
"kor","AWR26_00165","K02761","PTS-Cel-EIIC, celB, chbC","PTS system, cellobiose-specific IIC component","0.0000 ","0.0002","Kosakonia oryzae"
"kor","AWR26_00170","K02760","PTS-Cel-EIIB, celA, chbB","PTS system, cellobiose-specific IIB component","0.0029","0.0027","Kosakonia oryzae"
"kor","AWR26_00180","K00209","fabV, ter","enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+)","0.5916","0.4932","Kosakonia oryzae"
"kor","AWR26_00185","K17865","croR","3-hydroxybutyryl-CoA dehydratase","0.0000 ","0.0017","Kosakonia oryzae"
"kor","AWR26_00190","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Kosakonia oryzae"
"kor","AWR26_00195","K00023","phbB","acetoacetyl-CoA reductase","0.0029","0.0311","Kosakonia oryzae"
"kor","AWR26_00205","K00929","buk","butyrate kinase","0.0000 ","0.0006","Kosakonia oryzae"
"kor","AWR26_00215","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Kosakonia oryzae"
"kor","AWR26_00220","K02033","ABC.PE.P","peptide/nickel transport system permease protein","0.0016","0.0026","Kosakonia oryzae"
"kor","AWR26_00225","K02034","ABC.PE.P1","peptide/nickel transport system permease protein","0.0075","0.0026","Kosakonia oryzae"
"kor","AWR26_00230","K02031","ABC.PE.A","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Kosakonia oryzae"
"kor","AWR26_00235","K02032","ABC.PE.A1","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Kosakonia oryzae"
"kor","AWR26_00250","K10679","nfnB, nfsB","nitroreductase / dihydropteridine reductase","0.0000 ","0.0002","Kosakonia oryzae"
"kor","AWR26_00270","K15496","wtpB","molybdate/tungstate transport system permease protein","0.0000 ","0.0066","Kosakonia oryzae"
"kor","AWR26_00275","K15495","wtpA","molybdate/tungstate transport system substrate-binding protein","0.0000 ","0.0053","Kosakonia oryzae"
"kor","AWR26_00305","K02557","motB","chemotaxis protein MotB","0.0016","0.0085","Kosakonia oryzae"
"kor","AWR26_00330","K01714","dapA","4-hydroxy-tetrahydrodipicolinate synthase","0.4899","0.3442","Kosakonia oryzae"
"kor","AWR26_00385","K14238","tRNA-Sec","tRNA Sec","0.0000 ","0.2024","Kosakonia oryzae"
"kor","AWR26_00415","K03655","recG","ATP-dependent DNA helicase RecG","0.0000 ","0.0283","Kosakonia oryzae"
"kor","AWR26_00425","K01139","spoT","GTP diphosphokinase / guanosine-3,5-bis(diphosphate) 3-diphosphatase","0.0609","0.0641","Kosakonia oryzae"
