"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"sra","SerAS13_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Serratia sp. AS13"
"sra","SerAS13_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Serratia sp. AS13"
"sra","SerAS13_0003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Serratia sp. AS13"
"sra","SerAS13_0007","K01754","E4.3.1.19, ilvA, tdcB","threonine dehydratase","0.2176","0.1963","Serratia sp. AS13"
"sra","SerAS13_0013","K00835","avtA","valine--pyruvate aminotransferase","0.0426","0.0521","Serratia sp. AS13"
"sra","SerAS13_0014","K01176","AMY, amyA, malS","alpha-amylase","0.0085","0.0121","Serratia sp. AS13"
"sra","SerAS13_0017","K00090","E1.1.1.215","gluconate 2-dehydrogenase","0.0000 ","0.0056","Serratia sp. AS13"
"sra","SerAS13_0019","K00874","kdgK","2-dehydro-3-deoxygluconokinase","0.0018","0.0093","Serratia sp. AS13"
"sra","SerAS13_0024","K01246","tag","DNA-3-methyladenine glycosylase I","0.0012","0.0100","Serratia sp. AS13"
"sra","SerAS13_0027","K01878","glyQ","glycyl-tRNA synthetase alpha chain","0.4306","0.3913","Serratia sp. AS13"
"sra","SerAS13_0028","K01879","glyS","glycyl-tRNA synthetase beta chain","0.6310","0.4651","Serratia sp. AS13"
"sra","SerAS13_0031","K02798","PTS-Mtl-EIIA, mtlA, cmtB","PTS system, mannitol-specific IIA component","0.0000 ","0.0042","Serratia sp. AS13"
"sra","SerAS13_0032","K00009","mtlD","mannitol-1-phosphate 5-dehydrogenase","0.0000 ","0.0002","Serratia sp. AS13"
"sra","SerAS13_0039","K05875","tar","methyl-accepting chemotaxis protein II, aspartate sensor receptor","0.0000 ","0.0042","Serratia sp. AS13"
"sra","SerAS13_0042","K00123","fdoG, fdfH","formate dehydrogenase major subunit","0.0000 ","0.0001","Serratia sp. AS13"
"sra","SerAS13_0043","K00124","fdoH","formate dehydrogenase iron-sulfur subunit","0.0000 ","0.0004","Serratia sp. AS13"
"sra","SerAS13_0044","K00127","fdoI","formate dehydrogenase subunit gamma","0.0000 ","0.0000 ","Serratia sp. AS13"
"sra","SerAS13_0048","K01042","selA","L-seryl-tRNA(Ser) seleniumtransferase","0.0000 ","0.1409","Serratia sp. AS13"
"sra","SerAS13_0057","K00854","xylB, XYLB","xylulokinase","0.0000 ","0.0007","Serratia sp. AS13"
"sra","SerAS13_0058","K01805","xylA","xylose isomerase","0.0000 ","0.0000 ","Serratia sp. AS13"
"sra","SerAS13_0059","K10543","xylF","D-xylose transport system substrate-binding protein","0.0000 ","0.0053","Serratia sp. AS13"
"sra","SerAS13_0060","K10545","xylG","D-xylose transport system ATP-binding protein","0.0000 ","0.0057","Serratia sp. AS13"
"sra","SerAS13_0061","K10544","xylH","D-xylose transport system permease protein","0.0000 ","0.0053","Serratia sp. AS13"
"sra","SerAS13_0072","K13409","raxB, cvaB","ATP-binding cassette, subfamily B, bacterial RaxB","0.0000 ","0.0004","Serratia sp. AS13"
"sra","SerAS13_0077","K19734","expR","LuxR family transcriptional regulator, quorum-sensing system regulator ExpR","0.0000 ","0.0006","Serratia sp. AS13"
"sra","SerAS13_0086","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Serratia sp. AS13"
"sra","SerAS13_0087","K02755","PTS-Bgl-EIIA, bglF, bglP","PTS system, beta-glucoside-specific IIA component","0.0000 ","0.0037","Serratia sp. AS13"
"sra","SerAS13_0088","K01223","E3.2.1.86B, bglA","6-phospho-beta-glucosidase","0.0000 ","0.0004","Serratia sp. AS13"
"sra","SerAS13_0093","K12975","eptB","KDO II ethanolaminephosphotransferase","0.0000 ","0.1105","Serratia sp. AS13"
"sra","SerAS13_0094","K07686","uhpA","two-component system, NarL family, uhpT operon response regulator UhpA","0.0000 ","0.0010","Serratia sp. AS13"
"sra","SerAS13_0095","K07675","uhpB","two-component system, NarL family, sensor histidine kinase UhpB","0.0000 ","0.0007","Serratia sp. AS13"
"sra","SerAS13_0096","K07783","uhpC","MFS transporter, OPA family, sugar phosphate sensor protein UhpC","0.0000 ","0.0007","Serratia sp. AS13"
"sra","SerAS13_0098","K01183","E3.2.1.14","chitinase","0.0000 ","0.0172","Serratia sp. AS13"
"sra","SerAS13_0099","K12368","dppA","dipeptide transport system substrate-binding protein","0.0000 ","0.0027","Serratia sp. AS13"
"sra","SerAS13_0100","K12369","dppB","dipeptide transport system permease protein","0.0000 ","0.0075","Serratia sp. AS13"
"sra","SerAS13_0101","K12370","dppC","dipeptide transport system permease protein","0.0000 ","0.0075","Serratia sp. AS13"
"sra","SerAS13_0102","K12371","dppD","dipeptide transport system ATP-binding protein","0.0026","0.0072","Serratia sp. AS13"
"sra","SerAS13_0103","K12372","dppF","dipeptide transport system ATP-binding protein","0.0026","0.0072","Serratia sp. AS13"
"sra","SerAS13_0109","K00694","bcsA","cellulose synthase (UDP-forming)","0.0035","0.0047","Serratia sp. AS13"
"sra","SerAS13_0114","K11103","dctA","aerobic C4-dicarboxylate transport protein","0.0016","0.0023","Serratia sp. AS13"
"sra","SerAS13_0118","K01524","ppx-gppA","exopolyphosphatase / guanosine-5-triphosphate,3-diphosphate pyrophosphatase","0.0111","0.0535","Serratia sp. AS13"
"sra","SerAS13_0119","K03732","rhlB","ATP-dependent RNA helicase RhlB","0.0026","0.0313","Serratia sp. AS13"
"sra","SerAS13_0121","K03628","rho","transcription termination factor Rho","0.2427","0.1615","Serratia sp. AS13"
"sra","SerAS13_0124","K01791","wecB","UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing)","0.0075","0.0070","Serratia sp. AS13"
"sra","SerAS13_0125","K02472","wecC","UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase","0.0000 ","0.0056","Serratia sp. AS13"
"sra","SerAS13_0126","K01710","E4.2.1.46, rfbB, rffG","dTDP-glucose 4,6-dehydratase","0.0322","0.0736","Serratia sp. AS13"
"sra","SerAS13_0127","K00973","E2.7.7.24, rfbA, rffH","glucose-1-phosphate thymidylyltransferase","0.0335","0.0709","Serratia sp. AS13"
"sra","SerAS13_0136","K02496","hemX","uroporphyrin-III C-methyltransferase","0.0221","0.0383","Serratia sp. AS13"
"sra","SerAS13_0137","K01719","hemD, UROS","uroporphyrinogen-III synthase","0.3727","0.2247","Serratia sp. AS13"
"sra","SerAS13_0138","K01749","hemC, HMBS","hydroxymethylbilane synthase","0.4471","0.2333","Serratia sp. AS13"
"sra","SerAS13_0139","K05851","cyaA","adenylate cyclase, class 1","0.0031","0.0048","Serratia sp. AS13"
"sra","SerAS13_0142","K01778","dapF","diaminopimelate epimerase","0.3297","0.2269","Serratia sp. AS13"
"sra","SerAS13_0145","K20862","yigB","FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase","0.5680","0.1942","Serratia sp. AS13"
"sra","SerAS13_0146","K03657","uvrD, pcrA","DNA helicase II / ATP-dependent DNA helicase PcrA","0.0351","0.0917","Serratia sp. AS13"
"sra","SerAS13_0152","K01058","pldA","phospholipase A1","0.0000 ","0.0000 ","Serratia sp. AS13"
"sra","SerAS13_0153","K03654","recQ","ATP-dependent DNA helicase RecQ","0.0014","0.0359","Serratia sp. AS13"
"sra","SerAS13_0156","K01048","pldB","lysophospholipase","0.0022","0.0366","Serratia sp. AS13"
"sra","SerAS13_0158","K01126","E3.1.4.46, glpQ, ugpQ","glycerophosphoryl diester phosphodiesterase","0.0000 ","0.0333","Serratia sp. AS13"
"sra","SerAS13_0161","K00111","glpA, glpD","glycerol-3-phosphate dehydrogenase","0.0013","0.0904","Serratia sp. AS13"
"sra","SerAS13_0162","K00112","glpB","glycerol-3-phosphate dehydrogenase subunit B","0.0039","0.0350","Serratia sp. AS13"
"sra","SerAS13_0163","K00113","glpC","glycerol-3-phosphate dehydrogenase subunit C","0.0000 ","0.0354","Serratia sp. AS13"
"sra","SerAS13_0167","K04085","tusA, sirA","tRNA 2-thiouridine synthesizing protein A","0.0342","0.0693","Serratia sp. AS13"
"sra","SerAS13_0169","K01406","prtC","serralysin","0.0000 ","0.0043","Serratia sp. AS13"
"sra","SerAS13_0175","K03110","ftsY","fused signal recognition particle receptor","0.6601","0.5766","Serratia sp. AS13"
"sra","SerAS13_0176","K09812","ftsE","cell division transport system ATP-binding protein","0.1086","0.0737","Serratia sp. AS13"
"sra","SerAS13_0177","K09811","ftsX","cell division transport system permease protein","0.1399","0.0813","Serratia sp. AS13"
"sra","SerAS13_0182","K01999","livK","branched-chain amino acid transport system substrate-binding protein","0.0000 ","0.0005","Serratia sp. AS13"
"sra","SerAS13_0183","K01997","livH","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Serratia sp. AS13"
"sra","SerAS13_0184","K01998","livM","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Serratia sp. AS13"
"sra","SerAS13_0185","K01995","livG","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Serratia sp. AS13"
"sra","SerAS13_0186","K01996","livF","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Serratia sp. AS13"
"sra","SerAS13_0188","K05813","ugpB","sn-glycerol 3-phosphate transport system substrate-binding protein","0.0000 ","0.0053","Serratia sp. AS13"
"sra","SerAS13_0189","K05814","ugpA","sn-glycerol 3-phosphate transport system permease protein","0.0000 ","0.0056","Serratia sp. AS13"
"sra","SerAS13_0190","K05815","ugpE","sn-glycerol 3-phosphate transport system permease protein","0.0000 ","0.0053","Serratia sp. AS13"
"sra","SerAS13_0191","K05816","ugpC","sn-glycerol 3-phosphate transport system ATP-binding protein","0.0000 ","0.0057","Serratia sp. AS13"
