"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bhm","D558_0002","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Bordetella holmesii 44057"
"bhm","D558_0003","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Bordetella holmesii 44057"
"bhm","D558_0004","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Bordetella holmesii 44057"
"bhm","D558_0005","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Bordetella holmesii 44057"
"bhm","D558_0006","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Bordetella holmesii 44057"
"bhm","D558_0020","K07246","ttuC, dmlA","tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase","0.0000 ","0.0301","Bordetella holmesii 44057"
"bhm","D558_0021","K07246","ttuC, dmlA","tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase","0.0000 ","0.0301","Bordetella holmesii 44057"
"bhm","D558_0025","K12972","ghrA","glyoxylate/hydroxypyruvate reductase A","0.0127","0.0432","Bordetella holmesii 44057"
"bhm","D558_0026","K16871","POP2","4-aminobutyrate---pyruvate transaminase","0.0051","0.0105","Bordetella holmesii 44057"
"bhm","D558_0029","K01945","purD","phosphoribosylamine--glycine ligase","0.0268","0.0743","Bordetella holmesii 44057"
"bhm","D558_0030","K00228","CPOX, hemF","coproporphyrinogen III oxidase","0.3618","0.1531","Bordetella holmesii 44057"
"bhm","D558_0031","K00969","nadD","nicotinate-nucleotide adenylyltransferase","0.4583","0.4141","Bordetella holmesii 44057"
"bhm","D558_0032","K00969","nadD","nicotinate-nucleotide adenylyltransferase","0.4583","0.4141","Bordetella holmesii 44057"
"bhm","D558_0036","K11103","dctA","aerobic C4-dicarboxylate transport protein","0.0016","0.0023","Bordetella holmesii 44057"
"bhm","D558_0037","K11103","dctA","aerobic C4-dicarboxylate transport protein","0.0016","0.0023","Bordetella holmesii 44057"
"bhm","D558_0039","K10125","dctB","two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB","0.0000 ","0.0007","Bordetella holmesii 44057"
"bhm","D558_0040","K10126","dctD","two-component system, NtrC family, C4-dicarboxylate transport response regulator DctD","0.0000 ","0.0011","Bordetella holmesii 44057"
