"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bbrn","B2258_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0010","K01190","lacZ","beta-galactosidase","0.0000 ","0.0000 ","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0013","K00262","E1.4.1.4, gdhA","glutamate dehydrogenase (NADP+)","0.2743","0.2224","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0021","K01673","cynT, can","carbonic anhydrase","0.0399","0.0279","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0023","K00384","trxB","thioredoxin reductase (NADPH)","0.1650","0.2275","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0024","K01784","galE, GALE","UDP-glucose 4-epimerase","0.0526","0.0568","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0036","K03655","recG","ATP-dependent DNA helicase RecG","0.0000 ","0.0283","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0038","K01595","ppc","phosphoenolpyruvate carboxylase","0.0895","0.1205","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0043","K01867","WARS, trpS","tryptophanyl-tRNA synthetase","0.5166","0.4923","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0047","K00688","PYG, glgP","glycogen phosphorylase","0.0137","0.0350","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0053","K01664","pabA","para-aminobenzoate synthetase component II","0.0024","0.1645","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0056","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0062","K01048","pldB","lysophospholipase","0.0022","0.0366","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0078","K08372","pepD","putative serine protease PepD","0.0000 ","0.0054","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0084","K01624","FBA, fbaA","fructose-bisphosphate aldolase, class II","0.5327","0.3946","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0085","K01939","purA, ADSS","adenylosuccinate synthase","0.1496","0.2426","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0092","K00690","E2.4.1.7","sucrose phosphorylase","0.0000 ","0.0080","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0096","K00053","ilvC","ketol-acid reductoisomerase","0.0563","0.1147","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0097","K00053","ilvC","ketol-acid reductoisomerase","0.0563","0.1147","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0098","K01187","malZ","alpha-glucosidase","0.0285","0.0110","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0103","K00705","malQ","4-alpha-glucanotransferase","0.0144","0.0200","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0104","K05343","treS","maltose alpha-D-glucosyltransferase / alpha-amylase","0.0206","0.0080","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0105","K15770","cycB, ganO","arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein","0.0000 ","0.0053","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0106","K15771","ganP","arabinogalactan oligomer / maltooligosaccharide transport system permease protein","0.0000 ","0.0056","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0107","K15772","ganQ","arabinogalactan oligomer / maltooligosaccharide transport system permease protein","0.0000 ","0.0053","Bifidobacterium breve NCFB 2258"
"bbrn","B2258_0110","K01200","pulA","pullulanase","0.0286","0.0117","Bifidobacterium breve NCFB 2258"
