"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"cub","BJK06_00005","K02259","COX15","cytochrome c oxidase assembly protein subunit 15","0.0192","0.0252","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00010","K02257","COX10","protoheme IX farnesyltransferase","0.0286","0.0140","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00015","K00615","E2.2.1.1, tktA, tktB","transketolase","0.4726","0.6145","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00020","K00616","E2.2.1.2, talA, talB","transaldolase","0.2499","0.2247","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00025","K01810","GPI, pgi","glucose-6-phosphate isomerase","0.3262","0.3873","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00030","K00036","G6PD, zwf","glucose-6-phosphate 1-dehydrogenase","0.0214","0.0549","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00040","K01057","PGLS, pgl, devB","6-phosphogluconolactonase","0.0160","0.0142","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00050","K03075","secG","preprotein translocase subunit SecG","0.0644","0.3115","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00055","K01803","TPI, tpiA","triosephosphate isomerase (TIM)","0.5625","0.7010","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00060","K00927","PGK, pgk","phosphoglycerate kinase","0.3906","0.5214","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00065","K00134","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase","0.5166","0.5281","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00090","K03701","uvrA","excinuclease ABC subunit A","0.0009","0.0194","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00100","K03702","uvrB","excinuclease ABC subunit B","0.0041","0.0270","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00125","K00859","coaE","dephospho-CoA kinase","0.5800","0.5125","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00130","K02945","RP-S1, rpsA","small subunit ribosomal protein S1","0.3635","0.5201","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00140","K02335","DPO1, polA","DNA polymerase I","0.7656","0.8943","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00165","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00195","K00138","aldB","aldehyde dehydrogenase","0.0016","0.0092","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00210","K00873","PK, pyk","pyruvate kinase","0.7341","0.8327","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00215","K00266","gltD","glutamate synthase (NADPH/NADH) small chain","0.2338","0.2051","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00220","K00265","gltB","glutamate synthase (NADPH/NADH) large chain","0.2338","0.2722","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00230","K01695","trpA","tryptophan synthase alpha chain","0.0606","0.0979","Curtobacterium sp. BH-2-1-1"
"cub","BJK06_00235","K01696","trpB","tryptophan synthase beta chain","0.0606","0.0979","Curtobacterium sp. BH-2-1-1"
