"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"arh","AHiyo8_00540","K03657","uvrD, pcrA","DNA helicase II / ATP-dependent DNA helicase PcrA","0.0351","0.0917","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_01170","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_01430","K07462","recJ","single-stranded-DNA-specific exonuclease","0.0042","0.0324","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_01440","K07462","recJ","single-stranded-DNA-specific exonuclease","0.0042","0.0324","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_02490","K01784","galE, GALE","UDP-glucose 4-epimerase","0.0526","0.0568","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_02530","K14731","mlhB, chnC","epsilon-lactone hydrolase","0.0000 ","0.0084","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_02540","K14731","mlhB, chnC","epsilon-lactone hydrolase","0.0000 ","0.0084","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_02620","K01473","hyuA","N-methylhydantoinase A","0.0000 ","0.0037","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_02650","K01473","hyuA","N-methylhydantoinase A","0.0000 ","0.0037","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_02940","K00064","E1.1.1.122","D-threo-aldose 1-dehydrogenase","0.0000 ","0.0112","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_02990","K04098","chqB","hydroxyquinol 1,2-dioxygenase","0.0000 ","0.0203","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_03030","K01657","trpE","anthranilate synthase component I","0.0429","0.0698","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_03110","K01714","dapA","4-hydroxy-tetrahydrodipicolinate synthase","0.4899","0.3442","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_03120","K01714","dapA","4-hydroxy-tetrahydrodipicolinate synthase","0.4899","0.3442","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_03180","K00058","serA, PHGDH","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase","0.1073","0.1203","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_03220","K10441","rbsA","ribose transport system ATP-binding protein","0.0000 ","0.0057","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_03260","K10440","rbsC","ribose transport system permease protein","0.0000 ","0.0053","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_03270","K10440","rbsC","ribose transport system permease protein","0.0000 ","0.0053","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_03290","K10439","rbsB","ribose transport system substrate-binding protein","0.0020","0.0020","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_03300","K10439","rbsB","ribose transport system substrate-binding protein","0.0020","0.0020","Arthrobacter sp. Hiyo8"
"arh","AHiyo8_03360","K00851","E2.7.1.12, gntK, idnK","gluconokinase","0.0000 ","0.0066","Arthrobacter sp. Hiyo8"
