"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bro","BRAD285_0007","K09823","zur","Fur family transcriptional regulator, zinc uptake regulator","0.0000 ","0.0160","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0009","K03526","gcpE, ispG","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase","0.6310","0.4182","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0021","K00795","ispA","farnesyl diphosphate synthase","0.2867","0.2081","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0022","K03814","mtgA","monofunctional glycosyltransferase","0.0016","0.0175","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0023","K02911","RP-L32, MRPL32, rpmF","large subunit ribosomal protein L32","0.2338","0.4521","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0028","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0029","K00023","phbB","acetoacetyl-CoA reductase","0.0029","0.0311","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0033","K01069","E3.1.2.6, gloB","hydroxyacylglutathione hydrolase","0.0000 ","0.0100","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0040","K08484","PTS-EI.PTSP, ptsP","phosphotransferase system, enzyme I, PtsP","0.0000 ","0.0020","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0041","K00928","lysC","aspartate kinase","0.3479","0.4527","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0043","K00568","ubiG","2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase","0.4332","0.1583","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0056","K00620","argJ","glutamate N-acetyltransferase / amino-acid N-acetyltransferase","0.1209","0.0773","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0058","K03070","secA","preprotein translocase subunit SecA","0.3906","0.4886","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0059","K20940","phzS","5-methylphenazine-1-carboxylate 1-monooxygenase","0.0000 ","0.0374","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0066","K00117","gcd","quinoprotein glucose dehydrogenase","0.0029","0.0064","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0073","K01962","accA","acetyl-CoA carboxylase carboxyl transferase subunit alpha","0.6626","0.6603","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0077","K00891","E2.7.1.71, aroK, aroL","shikimate kinase","0.1756","0.1196","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0078","K01735","aroB","3-dehydroquinate synthase","0.1039","0.1485","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0083","K01647","CS, gltA","citrate synthase","0.2338","0.2171","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0084","K01647","CS, gltA","citrate synthase","0.2338","0.2171","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0087","K09882","cobS","cobaltochelatase CobS","0.0355","0.0302","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0088","K09883","cobT","cobaltochelatase CobT","0.0157","0.0483","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0093","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0094","K02033","ABC.PE.P","peptide/nickel transport system permease protein","0.0016","0.0026","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0095","K02034","ABC.PE.P1","peptide/nickel transport system permease protein","0.0075","0.0026","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0096","K02031","ABC.PE.A","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0098","K02970","RP-S21, MRPS21, rpsU","small subunit ribosomal protein S21","0.2105","0.4343","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0103","K02902","RP-L28, MRPL28, rpmB","large subunit ribosomal protein L28","0.3164","0.5072","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0115","K01999","livK","branched-chain amino acid transport system substrate-binding protein","0.0000 ","0.0005","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0116","K15866","paaG","2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase","0.0000 ","0.0013","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0129","K00797","speE, SRM","spermidine synthase","0.0000 ","0.0000 ","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0133","K00641","metX","homoserine O-acetyltransferase","0.0342","0.0381","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0136","K03657","uvrD, pcrA","DNA helicase II / ATP-dependent DNA helicase PcrA","0.0351","0.0917","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0147","K00450","E1.13.11.4","gentisate 1,2-dioxygenase","0.0000 ","0.0203","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0168","K01470","E3.5.2.10","creatinine amidohydrolase","0.0206","0.0067","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0180","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0186","K13529","ada-alkA","AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II","0.0000 ","0.0035","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0190","K21053","ade","adenine deaminase","0.0029","0.0360","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0211","K21310","mddA","methanethiol S-methyltransferase","0.0000 ","0.0063","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0227","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0232","K02793","PTS-Man-EIIA, manX","PTS system, mannose-specific IIA component","0.0091","0.0080","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0234","K14980","chvG","two-component system, OmpR family, sensor histidine kinase ChvG","0.0179","0.0013","Bradyrhizobium sp. ORS 285"
"bro","BRAD285_0235","K14981","chvI","two-component system, OmpR family, response regulator ChvI","0.0716","0.0028","Bradyrhizobium sp. ORS 285"
