"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"lle","AYR59_00010","K02343","DPO3G, dnaX","DNA polymerase III subunit gamma/tau","0.9384","0.9971","Lactobacillus lindneri"
"lle","AYR59_00015","K01983","ffs","SRP RNA","0.0000 ","0.0806","Lactobacillus lindneri"
"lle","AYR59_00035","K00525","E1.17.4.1A, nrdA, nrdE","ribonucleoside-diphosphate reductase alpha chain","0.7656","0.6595","Lactobacillus lindneri"
"lle","AYR59_00040","K00526","E1.17.4.1B, nrdB, nrdF","ribonucleoside-diphosphate reductase beta chain","0.7656","0.6595","Lactobacillus lindneri"
"lle","AYR59_00045","K00016","LDH, ldh","L-lactate dehydrogenase","0.0031","0.0286","Lactobacillus lindneri"
"lle","AYR59_00050","K00547","mmuM, BHMT2","homocysteine S-methyltransferase","0.0887","0.0381","Lactobacillus lindneri"
"lle","AYR59_00060","K14205","mprF, fmtC","phosphatidylglycerol lysyltransferase","0.0031","0.0042","Lactobacillus lindneri"
"lle","AYR59_00065","K02935","RP-L7, MRPL12, rplL","large subunit ribosomal protein L7/L12","0.6601","0.6651","Lactobacillus lindneri"
"lle","AYR59_00070","K02864","RP-L10, MRPL10, rplJ","large subunit ribosomal protein L10","0.5800","0.6162","Lactobacillus lindneri"
"lle","AYR59_00075","K02863","RP-L1, MRPL1, rplA","large subunit ribosomal protein L1","0.4306","0.5610","Lactobacillus lindneri"
"lle","AYR59_00080","K02867","RP-L11, MRPL11, rplK","large subunit ribosomal protein L11","0.5327","0.5955","Lactobacillus lindneri"
"lle","AYR59_00090","K03073","secE","preprotein translocase subunit SecE","0.5987","0.5577","Lactobacillus lindneri"
"lle","AYR59_00115","K01883","CARS, cysS","cysteinyl-tRNA synthetase","0.6601","0.3696","Lactobacillus lindneri"
"lle","AYR59_00120","K09698","gltX","nondiscriminating glutamyl-tRNA synthetase","0.7777","0.4463","Lactobacillus lindneri"
"lle","AYR59_00130","K01520","dut, DUT","dUTP pyrophosphatase","0.3727","0.3207","Lactobacillus lindneri"
