"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bly","A2T55_00040","K03654","recQ","ATP-dependent DNA helicase RecQ","0.0014","0.0359","Brevibacterium linens BS258"
"bly","A2T55_00050","K01556","KYNU, kynU","kynureninase","0.0000 ","0.0000 ","Brevibacterium linens BS258"
"bly","A2T55_00160","K13280","SEC11, sipW","signal peptidase, endoplasmic reticulum-type","0.0000 ","0.0806","Brevibacterium linens BS258"
"bly","A2T55_00210","K14260","alaA","alanine-synthesizing transaminase","0.2898","0.1945","Brevibacterium linens BS258"
"bly","A2T55_00220","K00054","mvaA","hydroxymethylglutaryl-CoA reductase","0.0825","0.1393","Brevibacterium linens BS258"
"bly","A2T55_00225","K01640","E4.1.3.4, HMGCL, hmgL","hydroxymethylglutaryl-CoA lyase","0.0091","0.0134","Brevibacterium linens BS258"
"bly","A2T55_00245","K01585","speA","arginine decarboxylase","0.0321","0.0215","Brevibacterium linens BS258"
"bly","A2T55_00265","K01777","prdF","proline racemase","0.0000 ","0.0240","Brevibacterium linens BS258"
"bly","A2T55_00310","K01753","dsdA","D-serine dehydratase","0.0000 ","0.0002","Brevibacterium linens BS258"
"bly","A2T55_00315","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Brevibacterium linens BS258"
"bly","A2T55_00335","K00104","glcD","glycolate oxidase","0.0085","0.0055","Brevibacterium linens BS258"
"bly","A2T55_00365","K01652","E2.2.1.6L, ilvB, ilvG, ilvI","acetolactate synthase I/II/III large subunit","0.0184","0.0311","Brevibacterium linens BS258"
"bly","A2T55_00370","K06016","pydC","beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase","0.0044","0.1559","Brevibacterium linens BS258"
"bly","A2T55_00385","K00135","gabD","succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase","0.0245","0.0296","Brevibacterium linens BS258"
"bly","A2T55_00395","K01042","selA","L-seryl-tRNA(Ser) seleniumtransferase","0.0000 ","0.1409","Brevibacterium linens BS258"
"bly","A2T55_00400","K14238","tRNA-Sec","tRNA Sec","0.0000 ","0.2024","Brevibacterium linens BS258"
"bly","A2T55_00405","K01008","selD, SEPHS","selenide, water dikinase","0.0026","0.0331","Brevibacterium linens BS258"
"bly","A2T55_00430","K00124","fdoH","formate dehydrogenase iron-sulfur subunit","0.0000 ","0.0004","Brevibacterium linens BS258"
"bly","A2T55_00435","K00123","fdoG, fdfH","formate dehydrogenase major subunit","0.0000 ","0.0001","Brevibacterium linens BS258"
