"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bmi","BMEA_A0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0005","K12972","ghrA","glyoxylate/hydroxypyruvate reductase A","0.0127","0.0432","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0006","K13896","yejF","microcin C transport system ATP-binding protein","0.0022","0.0086","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0007","K13895","yejE","microcin C transport system permease protein","0.0000 ","0.0053","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0008","K13894","yejB","microcin C transport system permease protein","0.0000 ","0.0053","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0009","K13893","yejA","microcin C transport system substrate-binding protein","0.0000 ","0.0053","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0010","K13893","yejA","microcin C transport system substrate-binding protein","0.0000 ","0.0053","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0014","K01999","livK","branched-chain amino acid transport system substrate-binding protein","0.0000 ","0.0005","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0017","K01640","E4.1.3.4, HMGCL, hmgL","hydroxymethylglutaryl-CoA lyase","0.0091","0.0134","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0018","K01968","E6.4.1.4A","3-methylcrotonyl-CoA carboxylase alpha subunit","0.0000 ","0.0950","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0019","K01969","E6.4.1.4B","3-methylcrotonyl-CoA carboxylase beta subunit","0.0000 ","0.0887","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0020","K00253","IVD, ivd","isovaleryl-CoA dehydrogenase","0.0106","0.0046","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0024","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0026","K00800","aroA","3-phosphoshikimate 1-carboxyvinyltransferase","0.1299","0.1579","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0027","K00945","cmk","CMP/dCMP kinase","0.8469","0.5663","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0028","K02945","RP-S1, rpsA","small subunit ribosomal protein S1","0.3635","0.5201","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0032","K06187","recR","recombination protein RecR","0.0040","0.0446","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0034","K02343","DPO3G, dnaX","DNA polymerase III subunit gamma/tau","0.9384","0.9971","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0036","K01983","ffs","SRP RNA","0.0000 ","0.0806","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0038","K03426","E3.6.1.22, NUDT12, nudC","NAD+ diphosphatase","0.4153","0.4516","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0039","K04518","pheA2","prephenate dehydratase","0.1142","0.0816","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0040","K00979","kdsB","3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)","0.4649","0.2620","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0041","K08738","CYC","cytochrome c","0.0029","0.0053","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0044","K02297","cyoA","cytochrome o ubiquinol oxidase subunit II","0.0022","0.0171","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0045","K02298","cyoB","cytochrome o ubiquinol oxidase subunit I","0.0000 ","0.0160","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0046","K02299","cyoC","cytochrome o ubiquinol oxidase subunit III","0.0022","0.0169","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0047","K02300","cyoD","cytochrome o ubiquinol oxidase subunit IV","0.0091","0.0184","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0057","K01759","GLO1, gloA","lactoylglutathione lyase","0.0000 ","0.0104","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0059","K01835","pgm","phosphoglucomutase","0.0858","0.1247","Brucella melitensis ATCC 23457"
"bmi","BMEA_A0066","K16165","nagK","fumarylpyruvate hydrolase","0.0000 ","0.0000 ","Brucella melitensis ATCC 23457"
