"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"dni","HX89_00190","K03101","lspA","signal peptidase II","0.2338","0.2223","Dermacoccus nishinomiyaensis"
"dni","HX89_00280","K22552","N/A","","N/A","N/A","Dermacoccus nishinomiyaensis"
"dni","HX89_00360","K02314","dnaB","replicative DNA helicase","0.6807","0.7836","Dermacoccus nishinomiyaensis"
"dni","HX89_00385","K02939","RP-L9, MRPL9, rplI","large subunit ribosomal protein L9","0.0090","0.3152","Dermacoccus nishinomiyaensis"
"dni","HX89_00390","K02963","RP-S18, MRPS18, rpsR","small subunit ribosomal protein S18","0.4440","0.5564","Dermacoccus nishinomiyaensis"
"dni","HX89_00395","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Dermacoccus nishinomiyaensis"
"dni","HX89_00400","K02990","RP-S6, MRPS6, rpsF","small subunit ribosomal protein S6","0.5030","0.5709","Dermacoccus nishinomiyaensis"
"dni","HX89_00440","K01858","INO1, ISYNA1","myo-inositol-1-phosphate synthase","0.0080","0.0008","Dermacoccus nishinomiyaensis"
"dni","HX89_00560","K00970","pcnB","poly(A) polymerase","0.0234","0.1016","Dermacoccus nishinomiyaensis"
"dni","HX89_00640","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Dermacoccus nishinomiyaensis"
"dni","HX89_00655","K02914","RP-L34, MRPL34, rpmH","large subunit ribosomal protein L34","0.3752","0.5158","Dermacoccus nishinomiyaensis"
"dni","HX89_00660","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Dermacoccus nishinomiyaensis"
"dni","HX89_00670","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Dermacoccus nishinomiyaensis"
"dni","HX89_00675","K00033","PGD, gnd, gntZ","6-phosphogluconate dehydrogenase","0.0170","0.0284","Dermacoccus nishinomiyaensis"
"dni","HX89_00680","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Dermacoccus nishinomiyaensis"
"dni","HX89_00710","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Dermacoccus nishinomiyaensis"
"dni","HX89_00720","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Dermacoccus nishinomiyaensis"
"dni","HX89_00745","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Dermacoccus nishinomiyaensis"
"dni","HX89_00765","K01664","pabA","para-aminobenzoate synthetase component II","0.0024","0.1645","Dermacoccus nishinomiyaensis"
"dni","HX89_00775","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Dermacoccus nishinomiyaensis"
"dni","HX89_00805","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Dermacoccus nishinomiyaensis"
"dni","HX89_00875","K18230","tylC, oleB, carA, srmB","macrolide transport system ATP-binding/permease protein","0.0000 ","0.0256","Dermacoccus nishinomiyaensis"
"dni","HX89_00955","K05522","nei","endonuclease VIII","0.0000 ","0.0071","Dermacoccus nishinomiyaensis"
"dni","HX89_00990","K18009","budC","meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase","0.0000 ","0.0300","Dermacoccus nishinomiyaensis"
"dni","HX89_01140","K07816","E2.7.6.5X","putative GTP pyrophosphokinase","0.0000 ","0.0331","Dermacoccus nishinomiyaensis"
"dni","HX89_01180","K00020","mmsB, HIBADH","3-hydroxyisobutyrate dehydrogenase","0.0000 ","0.0024","Dermacoccus nishinomiyaensis"
"dni","HX89_01185","K00140","mmsA, iolA, ALDH6A1","malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase","0.0000 ","0.0040","Dermacoccus nishinomiyaensis"
"dni","HX89_01255","K01426","E3.5.1.4, amiE","amidase","0.0000 ","0.0465","Dermacoccus nishinomiyaensis"
"dni","HX89_01300","K01897","ACSL, fadD","long-chain acyl-CoA synthetase","0.0000 ","0.0000 ","Dermacoccus nishinomiyaensis"
"dni","HX89_01310","K22468","N/A","","N/A","N/A","Dermacoccus nishinomiyaensis"
