"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bthy","AQ980_00210","K01951","guaA, GMPS","GMP synthase (glutamine-hydrolysing)","0.4583","0.4623","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00290","K04077","groEL, HSPD1","chaperonin GroEL","0.4440","0.5638","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00340","K14221","tRNA-Asp","tRNA Asp","0.0000 ","0.2024","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00345","K14230","tRNA-Met","tRNA Met","0.0000 ","0.2024","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00350","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00355","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00360","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00370","K14232","tRNA-Pro","tRNA Pro","0.0000 ","0.2024","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00375","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00380","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00390","K14223","tRNA-Gln","tRNA Gln","0.0000 ","0.2024","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00405","K14237","tRNA-Val","tRNA Val","0.0060","0.2024","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00420","K14220","tRNA-Asn","tRNA Asn","0.0000 ","0.2024","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00450","K01775","alr","alanine racemase","0.3752","0.4780","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00460","K00997","acpS","holo-[acyl-carrier protein] synthase","0.2267","0.2984","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00475","K05592","deaD, cshA","ATP-dependent RNA helicase DeaD","0.0000 ","0.0313","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00480","K01929","murF","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","0.7026","0.7733","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00485","K01921","ddl","D-alanine-D-alanine ligase","0.5987","0.5198","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00500","K00451","HGD, hmgA","homogentisate 1,2-dioxygenase","0.0000 ","0.0000 ","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00510","K00457","HPD, hppD","4-hydroxyphenylpyruvate dioxygenase","0.0000 ","0.0000 ","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00560","K02031","ABC.PE.A","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00565","K02034","ABC.PE.P1","peptide/nickel transport system permease protein","0.0075","0.0026","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00600","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00675","K00655","plsC","1-acyl-sn-glycerol-3-phosphate acyltransferase","0.7119","0.5099","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00715","K02020","modA","molybdate transport system substrate-binding protein","0.0000 ","0.0053","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00720","K02018","modB","molybdate transport system permease protein","0.0014","0.0066","Bacillus thuringiensis YWC2-8"
"bthy","AQ980_00730","K00286","proC","pyrroline-5-carboxylate reductase","0.0526","0.0624","Bacillus thuringiensis YWC2-8"
