"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"ppz","H045_00050","K01673","cynT, can","carbonic anhydrase","0.0399","0.0279","Pseudomonas poae"
"ppz","H045_00070","K02106","atoE","short-chain fatty acids transporter","0.0031","0.0030","Pseudomonas poae"
"ppz","H045_00105","K07644","cusS, copS, silS","two-component system, OmpR family, heavy metal sensor histidine kinase CusS","0.0000 ","0.0013","Pseudomonas poae"
"ppz","H045_00110","K07665","cusR, copR, silR","two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR","0.0000 ","0.0028","Pseudomonas poae"
"ppz","H045_00135","K01921","ddl","D-alanine-D-alanine ligase","0.5987","0.5198","Pseudomonas poae"
"ppz","H045_00140","K00681","ggt","gamma-glutamyltranspeptidase / glutathione hydrolase","0.0013","0.0125","Pseudomonas poae"
"ppz","H045_00155","K04058","yscW, sctW","type III secretion protein W","0.0000 ","0.0204","Pseudomonas poae"
"ppz","H045_00160","K03230","yscV, sctV, hrcV","type III secretion protein V","0.0000 ","0.0001","Pseudomonas poae"
"ppz","H045_00170","K03224","yscN, sctN, hrcN","ATP synthase in type III secretion protein N","0.0000 ","0.0001","Pseudomonas poae"
"ppz","H045_00185","K03225","yscQ, sctQ, hrcQ","type III secretion protein Q","0.0000 ","0.0049","Pseudomonas poae"
"ppz","H045_00190","K03226","yscR, sctR, hrcR","type III secretion protein R","0.0000 ","0.0001","Pseudomonas poae"
"ppz","H045_00195","K03227","yscS, sctS, hrcS","type III secretion protein S","0.0051","0.0007","Pseudomonas poae"
"ppz","H045_00200","K03228","yscT, sctT, hrcT","type III secretion protein T","0.0051","0.0007","Pseudomonas poae"
"ppz","H045_00205","K03229","yscU, sctU, hrcU","type III secretion protein U","0.0000 ","0.0001","Pseudomonas poae"
"ppz","H045_00215","K03219","yscC, sctC","type III secretion protein C","0.0000 ","0.0204","Pseudomonas poae"
"ppz","H045_00225","K03223","yscL, sctL","type III secretion protein L","0.0000 ","0.0001","Pseudomonas poae"
"ppz","H045_00270","K03657","uvrD, pcrA","DNA helicase II / ATP-dependent DNA helicase PcrA","0.0351","0.0917","Pseudomonas poae"
"ppz","H045_00320","K01939","purA, ADSS","adenylosuccinate synthase","0.1496","0.2426","Pseudomonas poae"
"ppz","H045_00375","K13874","K13874, araB","L-arabinonolactonase","0.0000 ","0.0000 ","Pseudomonas poae"
"ppz","H045_00380","K09936","TC.BAT2","bacterial/archaeal transporter family-2 protein","0.0000 ","0.0004","Pseudomonas poae"
"ppz","H045_00440","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Pseudomonas poae"
"ppz","H045_00460","K03222","yscJ, sctJ, hrcJ","type III secretion protein J","0.0051","0.0007","Pseudomonas poae"
"ppz","H045_00485","K02897","RP-L25, rplY","large subunit ribosomal protein L25","0.0966","0.3652","Pseudomonas poae"
"ppz","H045_00490","K00948","PRPS, prsA","ribose-phosphate pyrophosphokinase","0.7656","0.8943","Pseudomonas poae"
"ppz","H045_00495","K00919","ispE","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","0.5198","0.4114","Pseudomonas poae"
"ppz","H045_00510","K02492","hemA","glutamyl-tRNA reductase","0.2206","0.1199","Pseudomonas poae"
